kind,manifest_file,project_name,package,version,source_kind,source
uv.lock,languages/python/project/flask/uv.lock,Flask,alabaster,1.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,anyio,4.12.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,asgiref,3.11.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,babel,2.18.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,blinker,1.9.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,cachetools,7.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,certifi,2026.1.4,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,cffi,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,cfgv,3.5.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,chardet,5.2.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,charset-normalizer,3.4.4,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,click,8.3.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,colorama,0.4.6,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,cryptography,46.0.4,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,distlib,0.4.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,docutils,0.21.2,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,exceptiongroup,1.3.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,filelock,3.20.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,flask,3.2.0.dev0,editable,.
uv.lock,languages/python/project/flask/uv.lock,Flask,gha-update,0.2.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,greenlet,3.3.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,h11,0.16.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,httpcore,1.0.9,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,httpx,0.28.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,identify,2.6.16,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,idna,3.11,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,imagesize,1.4.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,iniconfig,2.3.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,itsdangerous,2.2.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,jinja2,3.1.6,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,librt,0.7.8,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,markupsafe,3.0.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,mypy,1.19.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,mypy-extensions,1.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,nodeenv,1.10.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,packaging,26.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pallets-sphinx-themes,2.3.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pathspec,1.0.4,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,platformdirs,4.5.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pluggy,1.6.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pre-commit,4.5.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pre-commit-uv,4.2.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pycparser,3.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pygments,2.19.2,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pyproject-api,1.10.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pyright,1.1.408,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pytest,9.0.2,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,python-dotenv,1.2.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,pyyaml,6.0.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,requests,2.32.5,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,roman-numerals,4.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,roman-numerals-py,4.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,ruff,0.15.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,snowballstemmer,3.0.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinx,8.1.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinx,8.2.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinx-autobuild,2024.10.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinx-autobuild,2025.8.25,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinx-notfound-page,1.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinx-tabs,3.4.7,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-applehelp,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-devhelp,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-htmlhelp,2.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-jsmath,1.0.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-log-cabinet,1.0.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-qthelp,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-serializinghtml,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,starlette,0.52.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,tomli,2.4.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,tox,4.34.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,tox-uv,1.29.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,types-contextvars,2.4.7.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,types-dataclasses,0.6.6,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,typing-extensions,4.15.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,urllib3,2.6.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,uv,0.9.28,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,uvicorn,0.40.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,virtualenv,20.36.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,watchfiles,1.1.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,websockets,16.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,werkzeug,3.1.5,registry,https://pypi.org/simple
