kind,manifest_file,project_name,name,specifier,group,line
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,langsmith,"langsmith>=0.3.45,<1.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,tenacity,"tenacity!=8.4.0,>=8.1.0,<10.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,jsonpatch,"jsonpatch>=1.33.0,<2.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pyyaml,"PyYAML>=5.3.0,<7.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,typing-extensions,"typing-extensions>=4.7.0,<5.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,packaging,packaging>=23.2.0,project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pydantic,"pydantic>=2.7.4,<3.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,uuid-utils,"uuid-utils>=0.12.0,<1.0",project,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,ruff,"ruff>=0.14.11,<0.16.0",group:lint,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,mypy,"mypy>=1.19.1,<1.20.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,types-pyyaml,"types-pyyaml>=6.0.12.2,<7.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,types-requests,"types-requests>=2.28.11.5,<3.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,langchain-text-splitters,langchain-text-splitters,group:typing,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,jupyter,"jupyter>=1.0.0,<2.0.0",group:dev,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,setuptools,"setuptools>=67.6.1,<83.0.0",group:dev,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,grandalf,"grandalf>=0.8.0,<1.0.0",group:dev,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest,"pytest>=8.0.0,<10.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,freezegun,"freezegun>=1.2.2,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest-mock,"pytest-mock>=3.10.0,<4.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,syrupy,"syrupy>=4.0.2,<6.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest-watcher,"pytest-watcher>=0.3.4,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest-asyncio,"pytest-asyncio>=0.21.1,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,grandalf,"grandalf>=0.8.0,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,responses,"responses>=0.25.0,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest-socket,"pytest-socket>=0.7.0,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest-xdist,"pytest-xdist<4.0.0,>=3.6.1",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,blockbuster,"blockbuster>=1.5.18,<1.6.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,numpy,numpy>=1.26.4; python_version<'3.13',group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,numpy,numpy>=2.1.0; python_version>='3.13',group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,langchain-tests,langchain-tests,group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest-benchmark,pytest-benchmark,group:test,0
pyproject.toml,languages/python/project/langchain/libs/core/pyproject.toml,langchain-core,pytest-codspeed,pytest-codspeed,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-core,"langchain-core>=1.2.5,<2.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-text-splitters,"langchain-text-splitters>=1.1.0,<2.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langsmith,"langsmith>=0.1.17,<1.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pydantic,"pydantic>=2.7.4,<3.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,sqlalchemy,"SQLAlchemy>=1.4.0,<3.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,requests,"requests>=2.0.0,<3.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pyyaml,"PyYAML>=5.3.0,<7.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,async-timeout,"async-timeout>=4.0.0,<5.0.0; python_version < ""3.11""",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-anthropic,langchain-anthropic,optional:anthropic,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-openai,langchain-openai,optional:openai,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-google-vertexai,langchain-google-vertexai,optional:google-vertexai,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-google-genai,langchain-google-genai,optional:google-genai,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-fireworks,langchain-fireworks,optional:fireworks,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-ollama,langchain-ollama,optional:ollama,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-together,langchain-together,optional:together,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-mistralai,langchain-mistralai,optional:mistralai,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-huggingface,langchain-huggingface,optional:huggingface,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-groq,langchain-groq,optional:groq,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-aws,langchain-aws,optional:aws,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-deepseek,langchain-deepseek,optional:deepseek,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-xai,langchain-xai,optional:xai,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-perplexity,langchain-perplexity,optional:perplexity,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest,"pytest>=8.0.0,<10.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest-cov,"pytest-cov>=4.0.0,<8.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest-dotenv,"pytest-dotenv>=0.5.2,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest-watcher,"pytest-watcher>=0.2.6,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest-asyncio,"pytest-asyncio>=0.23.2,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest-mock,"pytest-mock>=3.10.0,<4.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest-socket,"pytest-socket>=0.6.0,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pytest-xdist,"pytest-xdist<4.0.0,>=3.6.1",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,numpy,numpy>=1.26.4; python_version<'3.13',group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,numpy,numpy>=2.1.0; python_version>='3.13',group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,cffi,"cffi<1.17.1; python_version < ""3.10""",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,cffi,"cffi; python_version >= ""3.10""",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,freezegun,"freezegun>=1.2.2,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,responses,"responses>=0.22.0,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,lark,"lark>=1.1.5,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,pandas,"pandas>=2.0.0,<3.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,syrupy,"syrupy>=4.0.2,<6.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,requests-mock,"requests-mock>=1.11.0,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,toml,"toml>=0.10.2,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,packaging,"packaging>=24.2.0,<27.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-tests,langchain-tests,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-core,langchain-core,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-text-splitters,langchain-text-splitters,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-openai,langchain-openai,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,vcrpy,"vcrpy>=8.0.0,<9.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,wrapt,"wrapt>=1.15.0,<3.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,python-dotenv,"python-dotenv>=1.0.0,<2.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,cassio,"cassio>=0.1.0,<1.0.0; python_version < '3.14'",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchainhub,"langchainhub>=0.1.16,<1.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-core,langchain-core,group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-text-splitters,langchain-text-splitters,group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,ruff,"ruff>=0.14.11,<0.16.0",group:lint,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,cffi,"cffi<1.17.1; python_version < ""3.10""",group:lint,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,cffi,"cffi; python_version >= ""3.10""",group:lint,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,mypy,"mypy>=1.19.1,<1.20.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,mypy-protobuf,"mypy-protobuf>=3.0.0,<6.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,types-pyyaml,"types-pyyaml>=6.0.12.2,<7.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,types-requests,"types-requests>=2.28.11.5,<3.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,types-toml,"types-toml>=0.10.8.1,<1.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,types-redis,"types-redis>=4.3.21.6,<5.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,types-pytz,"types-pytz>=2023.3.0.0,<2026.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,types-chardet,"types-chardet>=5.0.4.6,<6.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,numpy,numpy>=1.26.4; python_version < '3.13',group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,numpy,numpy>=2.1.0; python_version >= '3.13',group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-core,langchain-core,group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-text-splitters,langchain-text-splitters,group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,fastapi,"fastapi<1.0.0,>=0.116.1",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,jupyter,"jupyter>=1.0.0,<2.0.0",group:dev,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,playwright,"playwright>=1.28.0,<2.0.0",group:dev,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,setuptools,"setuptools>=67.6.1,<83.0.0",group:dev,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-core,langchain-core,group:dev,0
pyproject.toml,languages/python/project/langchain/libs/langchain/pyproject.toml,langchain-classic,langchain-text-splitters,langchain-text-splitters,group:dev,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-core,"langchain-core>=1.2.10,<2.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langgraph,"langgraph>=1.0.8,<1.1.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pydantic,"pydantic>=2.7.4,<3.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-community,langchain-community,optional:community,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-anthropic,langchain-anthropic,optional:anthropic,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-openai,langchain-openai,optional:openai,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-azure-ai,langchain-azure-ai,optional:azure-ai,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-google-vertexai,langchain-google-vertexai,optional:google-vertexai,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-google-genai,langchain-google-genai,optional:google-genai,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-fireworks,langchain-fireworks,optional:fireworks,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-ollama,langchain-ollama,optional:ollama,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-together,langchain-together,optional:together,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-mistralai,langchain-mistralai,optional:mistralai,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-huggingface,langchain-huggingface,optional:huggingface,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-groq,langchain-groq,optional:groq,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-aws,langchain-aws,optional:aws,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-deepseek,langchain-deepseek,optional:deepseek,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-xai,langchain-xai,optional:xai,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-perplexity,langchain-perplexity,optional:perplexity,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pytest,"pytest>=8.0.0,<10.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pytest-cov,"pytest-cov>=4.0.0,<8.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pytest-watcher,"pytest-watcher>=0.2.6,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pytest-asyncio,"pytest-asyncio>=0.23.2,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pytest-socket,"pytest-socket>=0.6.0,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pytest-xdist,"pytest-xdist<4.0.0,>=3.6.1",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,pytest-mock,pytest-mock,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,syrupy,"syrupy>=4.0.2,<6.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,toml,"toml>=0.10.2,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,blockbuster,"blockbuster>=1.5.26,<1.6.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-tests,langchain-tests,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-openai,langchain-openai,group:test,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,ruff,"ruff>=0.14.11,<0.16.0",group:lint,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,mypy,"mypy>=1.19.1,<1.20.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,types-toml,"types-toml>=0.10.8.20240310,<1.0.0.0",group:typing,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,vcrpy,"vcrpy>=8.0.0,<9.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,wrapt,"wrapt>=1.15.0,<3.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,python-dotenv,"python-dotenv>=1.0.0,<2.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchainhub,"langchainhub>=0.1.16,<1.0.0",group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-core,langchain-core,group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/langchain_v1/pyproject.toml,langchain,langchain-text-splitters,langchain-text-splitters,group:test_integration,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,httpx,"httpx>=0.23.0,<1",project,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,tomli,"tomli>=2.0.0,<3.0.0; python_version < '3.11'",project,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,typing-extensions,"typing-extensions>=4.7.0,<5.0.0",project,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,pytest,"pytest>=8.0.0,<10.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,pytest-cov,"pytest-cov>=4.0.0,<8.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,pytest-watcher,"pytest-watcher>=0.2.6,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,pytest-asyncio,"pytest-asyncio>=0.23.2,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,pytest-socket,"pytest-socket>=0.6.0,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,pytest-xdist,"pytest-xdist<4.0.0,>=3.6.1",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,pytest-mock,pytest-mock,group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,syrupy,"syrupy>=4.0.2,<6.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,toml,"toml>=0.10.2,<1.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,langchain,"langchain[openai]>=1.0.2,<2.0.0",group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,langchain-core,langchain-core,group:test,0
pyproject.toml,languages/python/project/langchain/libs/model-profiles/pyproject.toml,langchain-model-profiles,langchain-core,langchain-core,group:test_integration,0
